,GCC1,FREQUENCIA
0,0xD9,14
1,0xCF,13
2,0xDD,12
3,0xD3,12
4,0xB3,11
5,0xE1,11
6,0xD5,11
7,0xD4,11
8,0xCE,11
9,0xC2,11
10,0xC6,11
11,0xBA,11
12,0xC7,10
13,0xCB,10
14,0xCD,10
15,0xD0,10
16,0xF4,9
17,0xBD,9
18,0xBB,9
19,0xE6,9
20,0xBE,9
21,0xC8,9
22,0xEB,9
23,0xDF,9
24,0xC4,8
25,0xBF,8
26,0xD7,8
27,0xB7,8
28,0xCA,8
29,0xB9,8
30,0xBC,8
31,0xE0,8
32,0xEC,8
33,0xDC,7
34,0xFB,7
35,0xC5,7
36,0xCC,7
37,0xEE,7
38,0xEA,7
39,0xC3,7
40,0xC1,7
41,0xD6,7
42,0xE3,7
43,0xE5,6
44,0xD8,6
45,0xB1,6
46,0xE4,6
47,0xDA,6
48,0xF6,6
49,0xB2,6
50,0xC0,5
51,0xF3,5
52,0xAD,5
53,0xEF,5
54,0xC9,5
55,0xED,5
56,0xD2,5
57,0xE9,5
58,0xE8,5
59,0xE7,5
60,0xE2,5
61,0xB4,4
62,0xB5,4
63,0xB0,4
64,0xAF,4
65,0xB6,4
66,0xFF,4
67,0x00,4
68,0xD1,4
69,0xDB,4
70,0xF0,4
71,0xF2,4
72,0x07,3
73,0x17,3
74,0xA8,3
75,0xAB,3
76,0xAC,3
77,0xAE,3
78,0x9E,3
79,0xF7,3
80,0xF5,3
81,0xF1,3
82,0x01,3
83,0x03,2
84,0x98,2
85,0x09,2
86,0x0E,2
87,0x11,2
88,0x12,2
89,0x02,2
90,0x1D,2
91,0x21,2
92,0x08,2
93,0xFD,2
94,0xB8,2
95,0xDE,2
96,0xF8,2
97,0xAA,2
98,0xA7,2
99,0xA6,2
100,0x9D,1
101,0x15,1
102,0x06,1
103,0xFA,1
104,0xFC,1
105,0x0D,1
106,0xA9,1
107,0x0F,1
108,0x13,1
109,0x14,1
110,0x16,1
111,0x96,1
112,0xA3,1
113,0x18,1
114,0x1A,1
115,0xA2,1
116,0xA0,1
117,0x26,1
118,0x29,1
119,0x52,1
120,0x57,1
121,0x5A,1
122,0x84,1
123,0x8F,1
124,0x9F,1
125,0x94,1
126,0x91,1
