,GCC1,FREQUENCIA
0,0xA2,20
1,0x93,19
2,0xA8,16
3,0x9C,15
4,0x9F,15
5,0x96,14
6,0xAA,14
7,0xAB,14
8,0xB6,13
9,0xA1,13
10,0x9E,12
11,0x92,12
12,0x95,12
13,0xA5,12
14,0xA3,11
15,0xA6,11
16,0xB2,11
17,0x9B,11
18,0x8F,10
19,0x90,10
20,0x97,10
21,0xB4,9
22,0x98,9
23,0xA7,9
24,0xAC,9
25,0x9A,8
26,0xB1,8
27,0xB3,8
28,0xAD,8
29,0x85,8
30,0xA4,8
31,0x9D,8
32,0xA0,8
33,0x8E,8
34,0x88,8
35,0x89,8
36,0xB8,7
37,0xAF,7
38,0xAE,7
39,0xBA,7
40,0xBB,7
41,0xB5,7
42,0x86,7
43,0x8A,7
44,0xA9,6
45,0xBE,6
46,0xCC,5
47,0x94,5
48,0x91,5
49,0x82,5
50,0x8C,5
51,0x8B,5
52,0x7F,5
53,0xC1,5
54,0x7E,5
55,0xB7,5
56,0xBC,5
57,0x6A,4
58,0xBD,4
59,0x8D,4
60,0x74,4
61,0x79,4
62,0xC0,4
63,0x7A,4
64,0x78,4
65,0x7C,4
66,0x83,4
67,0x99,4
68,0xB0,4
69,0x87,4
70,0x81,4
71,0x84,3
72,0x76,3
73,0xC2,3
74,0xBF,3
75,0xC6,3
76,0x6F,3
77,0xC7,3
78,0xC8,2
79,0x80,2
80,0x7B,2
81,0x75,2
82,0x7D,2
83,0x70,2
84,0x6E,2
85,0x71,2
86,0x62,1
87,0x77,1
88,0x6D,1
89,0x6C,1
90,0x68,1
91,0x5E,1
92,0xDF,1
93,0xDC,1
94,0xB9,1
95,0xC3,1
96,0xC4,1
97,0xC5,1
98,0xC9,1
99,0xCB,1
100,0xCD,1
101,0xCE,1
102,0xCF,1
103,0xD0,1
104,0xD6,1
105,0xD8,1
106,0x5C,1
