Time [s],Packet ID,MOSI,MISO
2.567259000000000,0,0x50,0xFF
2.567286333333333,0,0x0D,0xFF
2.567313583333333,0,0xF7,0xFF
2.567340875000000,0,0x01,0xFF
2.567368166666667,0,0x80,0xFF
2.567395416666667,0,0x00,0xFF
2.567422708333333,0,0x00,0xFF
2.567450000000000,0,0x00,0xFF
2.567477291666667,0,0x00,0xFF
2.567504583333333,0,0x00,0xFF
2.567531875000000,0,0x00,0xFF
2.567559166666667,0,0x00,0xFF
2.567586458333333,0,0x00,0xFF
2.567613750000000,0,0x00,0xFF
2.567641041666667,0,0x00,0xFF
2.961323416666667,1,0xF3,0xFF
3.301789291666667,2,0x17,0xFF
3.301816583333333,2,0x02,0xFF
3.301854833333334,2,0xFF,0x3A
3.301882416666666,2,0xFF,0x04
3.301909833333333,2,0xFF,0x00
3.402844333333333,3,0xF3,0xFF
3.768626458333333,4,0x17,0xFF
3.768653750000000,4,0x02,0xFF
3.768691875000000,4,0xFF,0x84
3.768719333333333,4,0xFF,0x03
3.768746791666667,4,0xFF,0x00
3.869671833333333,5,0xF3,0xFF
4.235503625000000,6,0x17,0xFF
4.235530916666667,6,0x02,0xFF
4.235569000000000,6,0xFF,0x78
4.235596541666666,6,0xFF,0x03
4.235624000000000,6,0xFF,0x00
4.336557625000000,7,0xF3,0xFF
4.701337291666666,8,0x17,0xFF
4.701364583333334,8,0x02,0xFF
4.701402708333333,8,0xFF,0xB9
4.701430291666667,8,0xFF,0x03
4.701457791666667,8,0xFF,0x00
4.802380708333334,9,0xF3,0xFF
5.168141166666667,10,0x17,0xFF
5.168168458333334,10,0x02,0xFF
5.168206541666667,10,0xFF,0x00
5.168233916666667,10,0xFF,0x04
5.168261333333334,10,0xFF,0x00
5.269179250000000,11,0xF3,0xFF
5.634871208333333,12,0x17,0xFF
5.634898541666667,12,0x02,0xFF
5.634936625000000,12,0xFF,0x16
5.634964125000000,12,0xFF,0x04
5.634991583333333,12,0xFF,0x00
5.735911291666667,13,0xF3,0xFF
6.101596666666667,14,0x17,0xFF
6.101623958333334,14,0x02,0xFF
6.101662000000000,14,0xFF,0xFD
6.101689666666666,14,0xFF,0x04
6.101717083333333,14,0xFF,0x00
6.202589666666666,15,0xF3,0xFF
6.568127166666667,16,0x17,0xFF
6.568154416666666,16,0x02,0xFF
6.568192500000000,16,0xFF,0xAF
6.568220125000000,16,0xFF,0x04
6.568247541666667,16,0xFF,0x00
6.669096250000000,17,0xF3,0xFF
7.035692791666667,18,0x17,0xFF
7.035720083333334,18,0x02,0xFF
7.035758208333333,18,0xFF,0x74
7.035785750000000,18,0xFF,0x04
7.035813208333333,18,0xFF,0x00
7.136719666666667,19,0xF3,0xFF
7.502390291666667,20,0x17,0xFF
7.502417583333333,20,0x02,0xFF
7.502455666666667,20,0xFF,0xFD
7.502483375000000,20,0xFF,0x03
7.502510833333333,20,0xFF,0x00
7.603421625000000,21,0xF3,0xFF
7.968229000000000,22,0x17,0xFF
7.968256333333334,22,0x02,0xFF
7.968294416666667,22,0xFF,0x04
7.968321875000000,22,0xFF,0x03
7.968349333333333,22,0xFF,0x00
8.069265083333333,23,0xF3,0xFF
8.435059750000001,24,0x17,0xFF
8.435087083333332,24,0x02,0xFF
8.435125166666667,24,0xFF,0x44
8.435152625000001,24,0xFF,0x03
8.435180125000000,24,0xFF,0x00
8.536099000000000,25,0xF3,0xFF
8.901908333333333,26,0x17,0xFF
8.901935666666667,26,0x02,0xFF
8.901973750000000,26,0xFF,0x0B
8.902001250000000,26,0xFF,0x03
8.902028708333333,26,0xFF,0x00
9.002960416666667,27,0xF3,0xFF
9.368724958333333,28,0x17,0xFF
9.368752291666667,28,0x02,0xFF
9.368790375000000,28,0xFF,0x84
9.368817833333333,28,0xFF,0x02
9.368845250000000,28,0xFF,0x00
9.469763458333333,29,0xF3,0xFF
9.835587916666666,30,0x17,0xFF
9.835615208333333,30,0x02,0xFF
9.835653333333333,30,0xFF,0xFF
9.835681041666666,30,0xFF,0x03
9.835708500000001,30,0xFF,0x00
9.936639791666666,31,0xF3,0xFF
10.302386291666666,32,0x17,0xFF
10.302413583333333,32,0x02,0xFF
10.302451666666666,32,0xFF,0xA2
