Time [s],Packet ID,MOSI,MISO
6.496667875000000,0,0x50,0xFF
6.496695250000000,0,0x0D,0xFF
6.496722562500000,0,0xF7,0xFF
6.496749875000000,0,0x01,0xFF
6.496777125000000,0,0x80,0xFF
6.496804437500000,0,0x00,0xFF
6.496831750000000,0,0x00,0xFF
6.496859062500000,0,0x00,0xFF
6.496886375000000,0,0x00,0xFF
6.496913625000000,0,0x00,0xFF
6.496940937500000,0,0x00,0xFF
6.496968187500000,0,0x00,0xFF
6.496995500000000,0,0x00,0xFF
6.497022812500000,0,0x00,0xFF
6.497050062500000,0,0x00,0xFF
6.891039125000000,1,0xF4,0xFF
7.239944687500000,2,0x1A,0xFF
7.239972062500000,2,0x02,0xFF
7.240010250000000,2,0xFF,0xB4
7.240037875000000,2,0xFF,0xBA
7.240065500000000,2,0xFF,0x3A
7.341096562500000,3,0xF4,0xFF
7.706180000000000,4,0x1A,0xFF
7.706207312500000,4,0x02,0xFF
7.706245437500000,4,0xFF,0x9E
7.706273000000000,4,0xFF,0x84
7.706300500000000,4,0xFF,0x3A
7.807240937500000,5,0xF4,0xFF
8.173219250000001,6,0x1A,0xFF
8.173246562499999,6,0x02,0xFF
8.173284687500001,6,0xFF,0xFC
8.173312312500000,6,0xFF,0xBB
8.173339937500000,6,0xFF,0x3A
8.274365500000000,7,0xF4,0xFF
8.639435000000001,8,0x1A,0xFF
8.639462375000001,8,0x02,0xFF
8.639500500000000,8,0xFF,0xA5
8.639528062500000,8,0xFF,0xB7
8.639555750000000,8,0xFF,0x3A
8.740526562499999,9,0xF4,0xFF
9.106452125000001,10,0x1A,0xFF
9.106479437500001,10,0x02,0xFF
9.106517562500001,10,0xFF,0xC5
9.106545062500000,10,0xFF,0xB2
9.106572625000000,10,0xFF,0x3A
9.207507250000001,11,0xF4,0xFF
9.573349125000000,12,0x1A,0xFF
9.573376437500000,12,0x02,0xFF
9.573414562500000,12,0xFF,0xE5
9.573442187500000,12,0xFF,0xE1
9.573469687499999,12,0xFF,0x3A
9.674407187500000,13,0xF4,0xFF
10.039303250000000,14,0x1A,0xFF
10.039330562500000,14,0x02,0xFF
10.039368687500000,14,0xFF,0xF0
10.039396249999999,14,0xFF,0x00
10.039423625000000,14,0xFF,0x3B
10.140371437500001,15,0xF4,0xFF
10.506235250000000,16,0x1A,0xFF
10.506262562500000,16,0x02,0xFF
10.506300625000000,16,0xFF,0x98
10.506328125000000,16,0xFF,0xE6
10.506355750000001,16,0xFF,0x3A
10.607266375000000,17,0xF4,0xFF
10.973057687500001,18,0x1A,0xFF
10.973084999999999,18,0x02,0xFF
10.973123062499999,18,0xFF,0x6E
10.973150687500000,18,0xFF,0xAC
10.973178187500000,18,0xFF,0x3A
11.074079125000001,19,0xF4,0xFF
11.439777937500001,20,0x1A,0xFF
11.439805249999999,20,0x02,0xFF
11.439843375000001,20,0xFF,0x00
11.439870750000001,20,0xFF,0x9E
11.439898312500000,20,0xFF,0x3A
11.540794000000000,21,0xF4,0xFF
11.906463375000000,22,0x1A,0xFF
11.906490687500000,22,0x02,0xFF
11.906528812500000,22,0xFF,0x7B
11.906556437500001,22,0xFF,0xB4
11.906584000000001,22,0xFF,0x3A
12.007521875000000,23,0xF4,0xFF
12.373282750000000,24,0x1A,0xFF
12.373310062500000,24,0x02,0xFF
12.373348125000000,24,0xFF,0xB8
12.373375687499999,24,0xFF,0xBE
12.373403312500001,24,0xFF,0x3A
12.474325437499999,25,0xF4,0xFF
12.840135750000000,26,0x1A,0xFF
12.840163062500000,26,0x02,0xFF
12.840201187500000,26,0xFF,0x51
12.840228687500000,26,0xFF,0xC8
12.840256187500000,26,0xFF,0x3A
12.941208124999999,27,0xF4,0xFF
13.306070937499999,28,0x1A,0xFF
13.306098187500000,28,0x02,0xFF
13.306136312500000,28,0xFF,0x2E
13.306163812499999,28,0xFF,0xD5
13.306191437500001,28,0xFF,0x3A
13.407124562500000,29,0xF4,0xFF
